,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
84,The Beasts of Tarzan,Edgar Rice Burroughs,Tarzan (Fictitious character) -- Fiction,Fantasy fiction,Jungle animals -- Fiction,185,63549,English,1993-10-01
85,A Connecticut Yankee in King Arthur's Court,Mark Twain,Fantasy fiction,Satire,Knights and knighthood -- Fiction,1984,117623,English,2004-07-07
86,The 1993 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.","Geography -- Handbooks, manuals, etc.","Political science -- Handbooks, manuals, etc.",57,66802,English,1993-10-01
87,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,Michael Hart,Cost and standard of living,NA,NA,19,81471,English,1993-11-01
88,"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptio","rth American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions","Canada. Treaties, etc. 1992 Oct. 7",Tariff -- Law and legislation -- North America,Free trade -- North America,32,117361,English,1993-11-01
89,The Son of Tarzan,Edgar Rice Burroughs,Tarzan (Fictitious character) -- Fiction,Fantasy fiction,Adventure stories,153,94600,English,1993-11-01
90,Tom Sawyer Abroad,Mark Twain,Adventure stories,"Sawyer, Tom (Fictitious character) -- Fiction",Balloon ascensions -- Fiction,129,33757,English,2004-09-14
91,Tarzan and the Jewels of Opar,Edgar Rice Burroughs,Tarzan (Fictitious character) -- Fiction,Fantasy fiction,Adventure stories,128,66018,English,1993-12-01
92,"Tom Sawyer, Detective",Mark Twain,"Sawyer, Tom (Fictitious character) -- Fiction",Mystery fiction,NA,200,23169,English,2004-09-14
93,Alexander's Bridge,Willa Cather,Civil engineers -- Fiction,London (England) -- Fiction,Psychological fiction,51,28710,English,2006-03-08
94,The Prisoner of Zenda,Anthony Hope,Impostors and imposture -- Fiction,Adventure stories,British -- Foreign countries -- Fiction,437,0,English,2006-01-09
95,The Monster Men,Edgar Rice Burroughs,Science fiction,Fantasy fiction,NA,83,57691,English,1994-01-01
96,Flatland: A Romance of Many Dimensions,Edwin Abbott Abbott,Fourth dimension,NA,NA,335,33572,English,1994-01-01
97,A Tale of Two Cities,Charles Dickens,Historical fiction,"France -- History -- Revolution, 1789-1799 -- Fiction",London (England) -- History -- 18th century -- Fiction,19510,135815,English,1994-01-01
98,Collected Articles of Frederick Douglass,Frederick Douglass,"Douglass, Frederick, 1818-1895",Slavery,African American abolitionists,150,8147,English,1994-01-01
